Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,239500.0,27393580.0,52592228.0,6560762410000.0,12595838606000.0,KOSPI,-8.76
000660,1567000.0,5429182.0,9171336.0,8507528194000.0,14371483512000.0,KOSPI,-8.79
005935,178000.0,3132086.0,3132086.0,557511308000.0,557511308000.0,KOSPI,-6.81
402340,1025000.0,819005.0,1181787.0,839480125000.0,1211331675000.0,KOSPI,-1.25
009150,1181000.0,1107138.0,2278412.0,1307529978000.0,2690804572000.0,KOSPI,3.42
005380,393000.0,826843.0,1309823.0,324949299000.0,514760439000.0,KOSPI,1.29
373220,316000.0,279360.0,372630.0,88277760000.0,117751080000.0,KOSPI,-3.66
207940,1423000.0,47113.0,63968.0,67041799000.0,91026464000.0,KOSPI,-4.18
105560,169500.0,921537.0,1075571.0,156200521500.0,182309284500.0,KOSPI,0.59
032830,287500.0,355175.0,452229.0,102112812500.0,130015837500.0,KOSPI,-7.7
028260,329000.0,299392.0,418172.0,98499968000.0,137578588000.0,KOSPI,-6.4
000270,129600.0,686065.0,843523.0,88914024000.0,109320580800.0,KOSPI,-1.74
329180,470500.0,134192.0,172726.0,63137336000.0,81267583000.0,KOSPI,-2.18
055550,102700.0,991006.0,1146995.0,101776316200.0,117796386500.0,KOSPI,1.99
012450,919000.0,141612.0,181328.0,130141428000.0,166640432000.0,KOSPI,0.22
012330,493500.0,328332.0,516709.0,162031842000.0,254995891500.0,KOSPI,3.68
034020,67700.0,1762521.0,3565055.0,119322671700.0,241354223500.0,KOSPI,0.89
068270,182200.0,451402.0,714673.0,82245444400.0,130213420600.0,KOSPI,-2.41
034730,523000.0,221163.0,278601.0,115668249000.0,145708323000.0,KOSPI,-6.1
086790,126900.0,591005.0,684654.0,74998534500.0,86882592600.0,KOSPI,1.2
035420,207500.0,662318.0,1301161.0,137430985000.0,269990907500.0,KOSPI,-0.24
006400,389500.0,318802.0,520839.0,124173379000.0,202866790500.0,KOSPI,-1.89
010120,188400.0,890344.0,1560113.0,167740809600.0,293925289200.0,KOSPI,1.95
000810,616000.0,64081.0,71531.0,39473896000.0,44063096000.0,KOSPI,-2.53
009540,368500.0,149515.0,183591.0,55096277500.0,67653283500.0,KOSPI,-4.16
066570,158800.0,754750.0,1339134.0,119854300000.0,212654479200.0,KOSPI,-2.04
042660,83000.0,839335.0,1630981.0,69664805000.0,135371423000.0,KOSPI,-2.58
316140,33350.0,1828005.0,2273441.0,60963966750.0,75819257350.0,KOSPI,-0.74
267260,673000.0,130244.0,187619.0,87654212000.0,126267587000.0,KOSPI,-1.61
005490,303500.0,294993.0,433985.0,89530375500.0,131714447500.0,KOSPI,-2.88
298040,2495000.0,65316.0,94162.0,162963420000.0,234934190000.0,KOSPI,3.23
069500,99105.0,24439342.0,24439342.0,2422060988910.0,2422060988910.0,KOSPI,-8.93
015760,34500.0,1146002.0,1590815.0,39537069000.0,54883117500.0,KOSPI,-0.86
010130,1020000.0,18726.0,23727.0,19100520000.0,24201540000.0,KOSPI,2.1
138040,120300.0,207835.0,241747.0,25002550500.0,29082164100.0,KOSPI,-2.98
000150,1238000.0,114333.0,167612.0,141544254000.0,207503656000.0,KOSPI,5.81
360750,26700.0,27034652.0,27034652.0,721825208400.0,721825208400.0,KOSPI,0.58
011200,20750.0,1029639.0,1609748.0,21365009250.0,33402271000.0,KOSPI,-0.95
042700,202500.0,679433.0,1268612.0,137585182500.0,256893930000.0,KOSPI,-5.59
006800,33250.0,1460334.0,2336420.0,48556105500.0,77685965000.0,KOSPI,-3.76
