Code,Name,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,삼성전자,259500.0,13938673.0,22016031.0,3617085643500.0,5713160044500.0,KOSPI,-3.53
000660,SK하이닉스,1812000.0,2620493.0,4193909.0,4748333316000.0,7599363108000.0,KOSPI,-2.21
005935,삼성전자우,193300.0,2973713.0,2973713.0,574818722900.0,574818722900.0,KOSPI,-4.78
402340,SK스퀘어,1089000.0,390533.0,553219.0,425290437000.0,602455491000.0,KOSPI,-4.05
009150,삼성전기,1400000.0,599185.0,969965.0,838859000000.0,1357951000000.0,KOSPI,0.0
373220,LG에너지솔루션,360000.0,303187.0,370848.0,109147320000.0,133505280000.0,KOSPI,-1.37
005380,현대차,382500.0,460573.0,689350.0,176169172500.0,263676375000.0,KOSPI,-1.67
207940,삼성바이오로직스,1415000.0,26885.0,33581.0,38042275000.0,47517115000.0,KOSPI,-0.56
105560,KB금융,177900.0,963730.0,1159047.0,171447567000.0,206194461300.0,KOSPI,2.6
032830,삼성생명,307500.0,216966.0,265076.0,66717045000.0,81510870000.0,KOSPI,-0.65
028260,삼성물산,367000.0,518056.0,602055.0,190126552000.0,220954185000.0,KOSPI,-3.29
034020,두산에너빌리티,90800.0,2458087.0,6003887.0,223194299600.0,545152939600.0,KOSPI,1.0
012450,한화에어로스페이스,1081000.0,94088.0,134960.0,101709128000.0,145891760000.0,KOSPI,1.31
055550,신한지주,112900.0,965833.0,1097001.0,109042545700.0,123851412900.0,KOSPI,2.36
329180,HD현대중공업,479000.0,689463.0,926906.0,330252777000.0,443987974000.0,KOSPI,5.62
000270,기아,126600.0,531709.0,622217.0,67314359400.0,78772672200.0,KOSPI,-0.31
006400,삼성SDI,545000.0,300655.0,519597.0,163856975000.0,283180365000.0,KOSPI,-2.85
034730,SK,585000.0,103249.0,135330.0,60400665000.0,79168050000.0,KOSPI,-4.41
068270,셀트리온,178200.0,564770.0,711103.0,100642014000.0,126718554600.0,KOSPI,-1.44
086790,하나금융지주,137800.0,687177.0,771311.0,94692990600.0,106286655800.0,KOSPI,1.85
012330,현대모비스,415500.0,200263.0,275902.0,83209276500.0,114637281000.0,KOSPI,0.0
066570,LG전자,199500.0,715786.0,1202066.0,142799307000.0,239812167000.0,KOSPI,-3.39
035420,NAVER,206500.0,664529.0,973061.0,137225238500.0,200937096500.0,KOSPI,-0.72
