Ticker,Name,Exchange,Date,Close,ChangePct,Volume,Avg20,Ratio,Streak
DELL,Dell Technologies,NYSE,2026-09-02,492.2,15.81,36411468,5825405,6.25,3
HPE,Hewlett Packard Enterprise,NYSE,2026-09-02,51.83,1.89,58753944,15673080,3.75,3
PCG,PG&E Corporation,NYSE,2026-09-02,13.33,-5.19,118606695,40650815,2.92,4
ACGL,Arch Capital Group,NYSE,2026-09-02,98.21,-0.41,3900922,1637240,2.38,1
OMC,Omnicom Group,NYSE,2026-09-02,81.76,-5.03,4838641,2040000,2.37,1
PANW,Palo Alto Networks,NASDAQ,2026-09-02,328.48,-9.28,13170703,5680610,2.32,3
AON,Aon plc,NYSE,2026-09-02,330.88,1.4,2052590,887665,2.31,3
EIX,Edison International,NYSE,2026-09-02,55.19,-6.14,12335354,5672580,2.17,4
BF-B,Brown–Forman,NYSE,2026-09-02,27.38,3.87,4038936,1870740,2.16,3
ESS,Essex Property Trust,NYSE,2026-09-02,277.29,-0.61,829666,406415,2.04,3
MLM,Martin Marietta Materials,NYSE,2026-09-02,517.07,2.41,1124516,559955,2.01,3
EXC,Exelon,NASDAQ,2026-09-02,43.97,0.32,11911141,6066435,1.96,3
ALNY,Alnylam Pharmaceuticals,NASDAQ,2026-09-02,267.4,8.65,3286090,1717590,1.91,1
BBY,Best Buy,NYSE,2026-09-02,87.0,5.29,7390163,3890410,1.9,1
CTVA,Corteva,NYSE,2026-09-02,89.97,2.55,8709480,4669115,1.87,1
GD,General Dynamics,NYSE,2026-09-02,364.07,-1.45,1575155,843880,1.87,3
AIG,American International Group,NYSE,2026-09-02,76.13,0.33,5374194,2981760,1.8,1
NDAQ,"Nasdaq, Inc.",NYSE,2026-09-02,95.72,-1.87,4640442,2594990,1.79,3
INCY,Incyte,NYSE,2026-09-02,128.83,3.06,2324073,1321980,1.76,1
ITW,Illinois Tool Works,NYSE,2026-09-02,269.09,-0.29,1670247,951085,1.76,1
BIIB,Biogen,NYSE,2026-09-02,222.67,3.07,1268016,730295,1.74,1
